zip,tier,score,rank,town,state
07860,Momentum,85.74,174,Newton,NJ
08804,Momentum,85.66,175,,
11103,Momentum,85.57,176,,
08835,Momentum,85.49,177,Manville,NJ
08701,Momentum,85.41,178,Lakewood Township,NJ
07514,Momentum,85.33,179,Paterson,NJ
07865,Momentum,85.24,180,,
10033,Momentum,85.16,181,New York,NY
11412,Momentum,85.08,182,,
11967,Momentum,85.00,183,,
08321,Momentum,84.91,184,,
10466,Momentum,84.83,185,,
10451,Momentum,84.75,186,,
07803,Momentum,84.67,187,Mine Hill Township,NJ
07756,Momentum,84.58,188,,
11968,Momentum,84.50,189,Southampton Town,NY
07501,Momentum,84.42,190,Paterson,NJ
08402,Momentum,84.34,191,Margate City,NJ
08066,Momentum,84.25,192,Paulsboro,NJ
07801,Momentum,84.17,193,Dover,NJ
19094,Momentum,84.09,194,,
07735,Momentum,84.01,195,Keyport,NJ
11433,Momentum,83.92,196,,
19481,Momentum,83.84,197,,
08050,Momentum,83.76,198,,
11961,Momentum,83.68,199,,
19144,Momentum,83.59,200,,
07857,Momentum,83.51,201,Netcong,NJ
11798,Momentum,83.43,202,,
08345,Momentum,83.35,203,,
10470,Momentum,83.26,204,,
08736,Momentum,83.18,205,Manasquan,NJ
19013,Momentum,83.10,206,Chester,PA
07856,Momentum,83.02,207,Mount Arlington,NJ
08848,Momentum,82.93,208,,
10512,Momentum,82.85,209,Carmel Town,NY
07205,Momentum,82.77,210,Hillside Township,NJ
11415,Momentum,82.69,211,,
08406,Momentum,82.61,212,Ventnor City,NJ
08629,Momentum,82.52,213,Trenton,NJ
11752,Momentum,82.44,214,,
11221,Momentum,82.36,215,,
11219,Momentum,82.28,216,,
07821,Momentum,82.19,217,Andover Township,NJ
10524,Momentum,82.11,218,Harrison Town,NY
10473,Momentum,82.03,219,,
11784,Momentum,81.95,220,,
07849,Momentum,81.86,221,,
10925,Momentum,81.78,222,Greenwood Lake Village,NY
07080,Momentum,81.70,223,South Plainfield,NJ
08880,Momentum,81.62,224,South Bound Brook,NJ
11435,Momentum,81.53,225,,
19149,Momentum,81.45,226,,
07850,Momentum,81.37,227,,
19602,Momentum,81.29,228,,
08829,Momentum,81.20,229,High Bridge,NJ
11932,Momentum,81.12,230,,
07062,Momentum,81.04,231,Plainfield,NJ
10579,Momentum,80.96,232,,
11782,Momentum,80.87,233,,
08861,Momentum,80.79,234,Perth Amboy,NJ
08559,Momentum,80.71,235,,
07026,Momentum,80.63,236,Garfield,NJ
19453,Momentum,80.54,237,,
07074,Momentum,80.46,238,Moonachie,NJ
10472,Momentum,80.38,239,,
11416,Momentum,80.30,240,,
07112,Momentum,80.21,241,Newark,NJ
10031,Momentum,80.13,242,New York,NY
08067,Momentum,80.05,243,,
11207,Momentum,79.97,244,,
07871,Momentum,79.88,245,Sparta Township,NJ
07435,Momentum,79.80,246,,
10993,Momentum,79.72,247,,
11213,Momentum,79.64,248,,
07063,Momentum,79.55,249,Plainfield,NJ
07465,Momentum,79.47,250,Wanaque,NJ
08828,Momentum,79.39,251,Helmetta,NJ
08260,Momentum,79.31,252,Wildwood,NJ
10552,Momentum,79.23,253,Mount Vernon,NY
10988,Momentum,79.14,254,,
07930,Momentum,79.06,255,Chester,NJ
11413,Momentum,78.98,256,,
07064,Momentum,78.90,257,,
07457,Momentum,78.81,258,Riverdale,NJ
11235,Momentum,78.73,259,,
11366,Momentum,78.65,260,,
08014,Momentum,78.57,261,,
11421,Momentum,78.48,262,,
10526,Momentum,78.40,263,,
08723,Momentum,78.32,264,Brick Township,NJ
07438,Momentum,78.24,265,Park Ridge,NJ
11236,Momentum,78.15,266,,
10465,Momentum,78.07,267,,
07014,Momentum,77.99,268,Clifton,NJ
07750,Momentum,77.91,269,Monmouth Beach,NJ
10589,Momentum,77.82,270,,
08823,Momentum,77.74,271,,
07885,Momentum,77.66,272,Wharton,NJ
07660,Momentum,77.58,273,Ridgefield Park,NJ
11575,Momentum,77.49,274,,
11757,Momentum,77.41,275,,
19405,Momentum,77.33,276,,
11360,Momentum,77.25,277,,
11417,Momentum,77.16,278,,
11520,Momentum,77.08,279,Freeport Village,NY
08750,Momentum,77.00,280,Sea Girt,NJ
07601,Momentum,76.92,281,Hackensack,NJ
10704,Momentum,76.83,282,Yonkers,NY
08882,Momentum,76.75,283,South River,NJ
10548,Momentum,76.67,284,Monroe Village,NY
07050,Momentum,76.59,285,,
07418,Momentum,76.50,286,Englewood,NJ
08015,Momentum,76.42,287,,
10597,Momentum,76.34,288,,
11703,Momentum,76.26,289,,
11374,Momentum,76.17,290,,
10567,Momentum,76.09,291,,
10576,Momentum,76.01,292,Pound Ridge Town,NY
08401,Momentum,75.93,293,Atlantic City,NJ
08330,Momentum,75.85,294,,
10701,Momentum,75.76,295,Yonkers,NY
19033,Momentum,75.68,296,,
11225,Momentum,75.60,297,,
07106,Momentum,75.52,298,Newark,NJ
11719,Momentum,75.43,299,,
07304,Momentum,75.35,300,Jersey City,NJ
11362,Momentum,75.27,301,,
10527,Momentum,75.19,302,,
10305,Momentum,75.10,303,,
08070,Momentum,75.02,304,Pennsville Township,NJ
08831,Emerging,74.94,305,,
11953,Emerging,74.86,306,,
11946,Emerging,74.77,307,,
19530,Emerging,74.69,308,,
08030,Emerging,74.61,309,Gloucester City,NJ
07035,Emerging,74.53,310,Lincoln Park,NJ
11715,Emerging,74.44,311,,
07513,Emerging,74.36,312,Paterson,NJ
08049,Emerging,74.28,313,Magnolia,NJ
10703,Emerging,74.20,314,Yonkers,NY
11377,Emerging,74.11,315,,
11749,Emerging,74.03,316,,
07420,Emerging,73.95,317,,
11364,Emerging,73.87,318,,
11972,Emerging,73.78,319,,
11102,Emerging,73.70,320,,
08812,Emerging,73.62,321,Dunellen,NJ
19078,Emerging,73.54,322,Ridley Park,PA
11212,Emerging,73.45,323,,
11717,Emerging,73.37,324,,
08887,Emerging,73.29,325,,
11691,Emerging,73.21,326,,
10516,Emerging,73.12,327,Cold Spring Village,NY
